#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
190,James Johnson,NOP,51,20.5,2.9,6.4,0.446,0.6,2.4,0.258,0.9,1.5,0.592,1.1,2.4,0.6,2.8,3.5,1.9,0.8,0.8,7.2
191,Juancho Hernangomez,MIN,52,17.3,2.5,5.8,0.435,1.1,3.2,0.327,1.2,1.9,0.619,0.5,1,0.9,3.1,3.9,0.7,0.4,0.1,7.2
192,Aaron Holiday,IND,66,17.8,2.6,6.6,0.39,1,2.8,0.368,1,1.3,0.819,1,1.4,0.2,1.1,1.3,1.9,0.7,0.2,7.2
193,Khem Birch,TOR,67,22.8,2.8,5.7,0.497,0.2,0.8,0.25,1.4,1.9,0.705,0.7,1.7,2.6,3.2,5.8,1.3,0.7,0.7,7.2
194,Kent Bazemore,GSW,67,19.9,2.6,5.9,0.449,1.1,2.7,0.408,0.8,1.2,0.692,1.2,2.4,0.4,3,3.4,1.6,1,0.5,7.2
195,Maxi Kleber,DAL,50,26.8,2.3,5.5,0.422,1.7,4.2,0.41,0.7,0.7,0.919,0.6,2.1,0.9,4.3,5.2,1.4,0.5,0.7,7.1
196,Draymond Green,GSW,63,31.5,2.7,6,0.447,0.5,2,0.27,1.1,1.4,0.795,3,3.1,0.9,6.3,7.1,8.9,1.7,0.8,7
197,Terance Mann,LAC,67,18.9,2.7,5.2,0.509,0.6,1.4,0.418,1.2,1.4,0.83,0.6,1.9,0.8,2.8,3.6,1.6,0.4,0.2,7
198,Daniel Gafford,WAS,54,14.7,2.9,4.2,0.684,0,0,0,1.3,2,0.667,0.8,1.8,1.7,2.5,4.3,0.5,0.5,1.4,7
199,Royce O'Neale,UTA,71,31.6,2.5,5.5,0.444,1.5,3.9,0.385,0.5,0.6,0.848,1.2,2.6,1.2,5.6,6.8,2.5,0.8,0.5,7
200,Dwight Howard,PHI,69,17.3,2.6,4.4,0.587,0.1,0.3,0.25,1.8,3,0.576,1.6,2.9,2.8,5.7,8.4,0.9,0.4,0.9,7
201,Georges Niang,UTA,72,16,2.5,5.6,0.437,1.7,4.1,0.425,0.3,0.3,0.957,0.7,1.6,0.4,2.1,2.4,0.8,0.3,0.1,6.9
202,R.J. Hampton,ORL,51,17.4,2.7,6.1,0.435,0.5,1.7,0.31,1.1,1.6,0.671,1,1.2,0.6,2.9,3.5,1.7,0.4,0.2,6.9
203,Derrick Jones,POR,58,22.7,2.5,5.2,0.484,0.7,2.3,0.316,1,1.6,0.648,0.6,2.2,1.3,2.2,3.5,0.8,0.6,0.9,6.8
204,Pat Connaughton,MIL,69,22.8,2.4,5.6,0.434,1.5,3.9,0.371,0.4,0.6,0.775,0.5,1.4,0.9,3.9,4.8,1.2,0.7,0.3,6.8
205,Jaden McDaniels,MIN,63,24,2.6,5.8,0.447,1.1,3.1,0.364,0.4,0.7,0.6,0.7,2.7,0.8,2.9,3.7,1.1,0.6,1,6.8
206,Jeff Teague,MIL,55,17.3,2.2,5.2,0.433,0.7,1.5,0.439,1.6,1.9,0.848,1.2,1,0.3,1.3,1.6,2.4,0.6,0.2,6.7
207,Markieff Morris,LAL,61,19.7,2.5,6.2,0.405,1.1,3.4,0.311,0.6,0.8,0.72,0.9,1.7,0.8,3.6,4.4,1.2,0.4,0.3,6.7
208,Trey Burke,DAL,62,14.7,2.4,5.7,0.428,0.9,2.6,0.354,0.8,0.9,0.895,0.5,1,0.2,0.7,0.9,1.3,0.6,0.1,6.6
209,"Xavier Tillman, Sr.",MEM,59,18.4,2.8,5.1,0.559,0.4,1.1,0.338,0.6,0.9,0.642,0.8,2,1.3,3.1,4.3,1.3,0.7,0.6,6.6
210,Alex Len,WAS,64,15.3,2.7,4.3,0.615,0.1,0.4,0.32,1.1,1.8,0.629,0.9,2,1.2,2.8,4.1,0.8,0.3,1,6.6
211,Frank Kaminsky,PHX,47,15.2,2.6,5.5,0.471,0.7,1.8,0.365,0.8,1.3,0.617,0.5,1.5,0.8,3.2,4,1.7,0.3,0.4,6.6
212,Denzel Valentine,CHI,62,16.7,2.5,6.7,0.373,1.3,3.9,0.331,0.3,0.3,0.941,0.7,1.1,0.4,2.8,3.2,1.7,0.5,0.1,6.5
213,Damion Lee,GSW,57,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.7,0.8,0.909,0.5,1.6,0.4,2.8,3.2,1.3,0.7,0.1,6.5
214,Alex Caruso,LAL,58,21,2.3,5.3,0.436,0.9,2.4,0.401,0.8,1.3,0.645,1.3,1.9,0.5,2.4,2.9,2.8,1.1,0.3,6.4
215,Timothe Luwawu-Cabarrot,BRK,58,18.1,2.2,6.1,0.365,1.3,4.1,0.314,0.6,0.7,0.814,0.7,1.7,0.5,1.7,2.2,1.2,0.6,0.1,6.4
216,"Kira Lewis, Jr.",NOP,54,16.7,2.4,6.2,0.386,0.7,2.2,0.333,0.8,0.9,0.843,0.6,1.6,0.2,1.1,1.3,2.3,0.7,0.2,6.4
217,Deni Avdija,WAS,54,23.3,2.4,5.8,0.417,1,3.1,0.315,0.5,0.8,0.644,0.6,2.6,0.4,4.4,4.9,1.2,0.6,0.3,6.3
218,Tyus Jones,MEM,70,17.5,2.5,5.9,0.431,0.6,2,0.321,0.6,0.6,0.911,0.7,0.4,0.3,1.7,2,3.7,0.9,0.1,6.3
219,Aron Baynes,TOR,53,18.5,2.5,5.7,0.441,0.5,1.9,0.262,0.5,0.8,0.707,0.9,2.2,1.6,3.5,5.2,0.9,0.3,0.4,6.1
220,Facundo Campazzo,DEN,65,21.9,1.8,4.8,0.381,1.2,3.3,0.352,1.2,1.4,0.879,1.1,2,0.3,1.7,2.1,3.6,1.2,0.2,6.1
221,Dean Wade,CLE,63,19.2,2.1,4.9,0.431,1.2,3.4,0.366,0.5,0.6,0.769,0.5,1.2,0.6,2.8,3.4,1.2,0.6,0.3,6
222,Dwight Powell,DAL,58,16.6,2.1,3.3,0.619,0.1,0.4,0.238,1.7,2.1,0.782,0.7,2.3,1.4,2.7,4,1.1,0.6,0.5,5.9
223,Drew Eubanks,SAS,54,14,2.1,3.8,0.566,0,0,1,1.4,2,0.726,0.8,1.6,1.4,3.1,4.5,0.8,0.3,0.9,5.8
224,DeAndre' Bembry,TOR,51,19.1,2.3,4.5,0.513,0.3,1,0.264,0.9,1.3,0.682,1.4,1.7,0.6,2.2,2.9,2.1,1,0.4,5.7
225,Juan Toscano-Anderson,GSW,53,20.9,2.3,3.9,0.579,0.7,1.7,0.402,0.4,0.6,0.71,1.2,2.1,0.5,3.9,4.4,2.8,0.8,0.5,5.7
226,Mychal Mulder,GSW,60,12.8,2,4.4,0.449,1.4,3.6,0.397,0.2,0.4,0.636,0.3,0.9,0.1,0.9,1,0.4,0.2,0.2,5.6
227,Garrison Mathews,WAS,64,16.2,1.5,3.7,0.409,1.2,3.1,0.384,1.3,1.5,0.884,0.2,1.7,0.2,1.1,1.4,0.4,0.5,0.1,5.5
228,Brad Wanamaker,CHA,61,17.3,1.9,4.9,0.385,0.3,1.4,0.188,1.5,1.7,0.891,1.2,1.5,0.3,1.4,1.7,2.9,0.7,0.2,5.5
229,Devin Vassell,SAS,62,17,2,4.9,0.406,0.8,2.4,0.347,0.7,0.8,0.843,0.4,1.4,0.4,2.4,2.8,0.9,0.7,0.3,5.5
230,Torrey Craig,PHX,50,16.1,2.2,4.5,0.48,0.8,2.1,0.368,0.3,0.4,0.773,0.5,1.7,1.1,2.8,3.9,1,0.6,0.5,5.5
231,Derrick Favors,UTA,68,15.3,2.3,3.6,0.638,0,0,0,0.9,1.2,0.738,0.5,2.1,2,3.5,5.5,0.6,0.5,1,5.4
232,Rajon Rondo,LAC,45,17.1,2.1,4.8,0.442,0.8,2,0.404,0.4,0.4,0.941,1.8,1.2,0.4,2,2.4,4.4,0.8,0.1,5.4
233,Jarred Vanderbilt,MIN,64,17.8,2.2,3.7,0.606,0,0.1,0.2,0.9,1.6,0.559,0.8,1.9,1.8,3.9,5.8,1.2,1,0.7,5.4
234,Josh Okogie,MIN,59,20.3,1.7,4.3,0.402,0.5,1.8,0.269,1.4,1.8,0.769,0.7,2.1,1.1,1.6,2.6,1.1,0.9,0.5,5.4
235,Tony Snell,ATL,47,21.1,1.9,3.6,0.515,1.3,2.3,0.569,0.2,0.2,1,0.4,1.6,0.4,2,2.4,1.3,0.3,0.2,5.3
236,Willie Cauley-Stein,DAL,53,17.1,2.2,3.4,0.632,0,0.2,0.091,0.9,1.5,0.628,0.5,2.4,1.2,3.2,4.5,0.7,0.4,0.8,5.3
237,Sekou Doumbouya,DET,56,15.5,1.9,5,0.379,0.5,2.1,0.226,0.8,1.1,0.703,0.8,1.7,0.7,1.9,2.6,0.8,0.4,0.2,5.1
238,Nerlens Noel,NYK,64,24.2,2.1,3.5,0.614,0,0,0,0.8,1.1,0.714,1,2.8,2.2,4.2,6.4,0.7,1.1,2.2,5.1
239,Marc Gasol,LAL,52,19.1,1.7,3.7,0.454,1,2.3,0.41,0.7,1,0.72,1,2.2,0.7,3.4,4.1,2.1,0.5,1.1,5
240,Jordan McLaughlin,MIN,51,18.4,2,4.7,0.413,0.6,1.8,0.359,0.5,0.6,0.767,1,0.9,0.4,1.7,2.1,3.8,1,0.1,5
241,Bismack Biyombo,CHA,66,20.4,2.2,3.7,0.587,0,0,0,0.7,1.6,0.448,1.1,2.1,2.1,3.2,5.3,1.2,0.3,1.1,5
242,Precious Achiuwa,MIA,61,12.1,2,3.7,0.544,0,0,0,0.9,1.8,0.509,0.7,1.5,1.2,2.2,3.4,0.5,0.3,0.5,5
243,Caleb Martin,CHA,53,15.4,1.8,4.8,0.375,0.6,2.4,0.248,0.8,1.2,0.641,0.6,1.2,0.6,2.1,2.7,1.3,0.7,0.2,5
244,Gabe Vincent,MIA,50,13.1,1.8,4.7,0.378,0.9,3,0.309,0.4,0.5,0.87,0.7,1.6,0.2,0.9,1.1,1.3,0.4,0,4.8
245,Wesley Matthews,LAL,58,19.5,1.5,4.3,0.353,1.1,3.4,0.335,0.6,0.7,0.854,0.4,1.4,0.3,1.3,1.6,0.9,0.7,0.3,4.8
246,Aaron Nesmith,BOS,46,14.5,1.7,3.9,0.438,0.9,2.3,0.37,0.5,0.6,0.786,0.5,1.9,0.6,2.2,2.8,0.5,0.3,0.2,4.7
247,Grant Williams,BOS,63,18.1,1.7,3.9,0.437,0.8,2,0.372,0.5,0.8,0.588,0.9,2.6,0.8,2.1,2.8,1,0.5,0.4,4.7
248,Semi Ojeleye,BOS,56,17,1.6,3.9,0.403,1,2.8,0.367,0.4,0.6,0.75,0.4,1,0.6,2.1,2.6,0.7,0.3,0,4.6
249,Nassir Little,POR,48,13.3,1.6,3.5,0.467,0.6,1.7,0.35,0.8,0.9,0.8,0.4,1.1,0.7,2,2.7,0.5,0.1,0.3,4.6
250,Onyeka Okongwu,ATL,50,12,1.9,3,0.644,0,0.1,0,0.7,1.1,0.632,0.6,2,1.2,2,3.3,0.4,0.5,0.7,4.6
251,Rodney Hood,TOR,55,17.1,1.7,4.7,0.362,0.6,2.1,0.301,0.4,0.5,0.857,0.7,1.3,0.4,1.5,1.9,1,0.4,0.1,4.5
252,Solomon Hill,ATL,71,21.3,1.5,4.2,0.359,1,3,0.321,0.5,0.6,0.761,0.6,1.6,0.6,2.4,3,1.1,0.7,0.2,4.5
253,Stanley Johnson,TOR,61,16.5,1.5,3.8,0.382,0.7,2.2,0.328,0.7,0.9,0.8,0.9,1.9,0.5,2,2.5,1.5,0.9,0.3,4.4
254,Andre Iguodala,MIA,63,21.2,1.5,3.9,0.383,1,2.9,0.33,0.4,0.6,0.658,1.1,1.4,0.6,2.9,3.5,2.3,0.9,0.6,4.4
255,Mike Scott,PHI,51,16.7,1.5,4.1,0.36,1,3,0.342,0.2,0.2,0.667,0.4,1.4,0.2,2.1,2.4,0.8,0.5,0.3,4.2
256,Jevon Carter,PHX,60,11.9,1.6,3.7,0.422,0.9,2.5,0.371,0.1,0.1,0.571,0.3,0.9,0.3,1.3,1.5,1.2,0.5,0.1,4.1
257,Kevon Looney,GSW,61,19,1.8,3.2,0.548,0.1,0.3,0.235,0.5,0.8,0.646,0.6,2.2,1.9,3.4,5.3,2,0.3,0.4,4.1
258,Obi Toppin,NYK,62,11,1.7,3.4,0.498,0.4,1.4,0.306,0.3,0.4,0.731,0.4,0.9,0.4,1.8,2.2,0.5,0.3,0.2,4.1
259,Cody Martin,CHA,52,16.3,1.6,3.6,0.441,0.3,1.1,0.276,0.5,0.8,0.581,0.8,1,1,2.1,3.1,1.7,0.7,0.2,4
260,Matisse Thybulle,PHI,65,20,1.6,3.7,0.42,0.7,2.2,0.301,0.1,0.3,0.444,0.5,2,0.5,1.4,1.9,1,1.6,1.1,3.9
261,P.J. Tucker,MIL,52,26.1,1.3,3.4,0.373,0.8,2.3,0.336,0.4,0.5,0.75,0.8,2.4,1,2.9,3.9,1.2,0.8,0.4,3.7
262,Amir Coffey,LAC,44,9,1,2.3,0.437,0.5,1.3,0.411,0.6,0.9,0.711,0.3,0.7,0.2,0.8,1,0.5,0.2,0,3.2
263,Thanasis Antetokounmpo,MIL,57,9.7,1.2,2.4,0.489,0.1,0.5,0.241,0.4,0.9,0.51,0.8,1.3,0.9,1.2,2.2,0.8,0.4,0.2,2.9
264,Miye Oni,UTA,54,9.6,0.6,1.8,0.354,0.6,1.6,0.341,0.1,0.1,0.833,0.3,1.1,0.4,1.1,1.6,0.5,0.2,0.1,1.9
